uid,Session,AppID,DevID,DevEui,Time,FPort,FCnt,Frequency,Modulation,Bandwidth,SpreadingFactor,Bitrate,CodingRate,GatewayId,GatewayEui,AntennaIndex,GatewayTime,GatewayTimestamp,FineTimestamp,FineTimestampEncrypted,FineTimestampEncryptedKeyId,ChannelIndex,Rssi,SignalRssi,Snr,GatewayLatitude,GatewayLongitude,GatewayAltitude,GatewayLocationAccuracy,GatewayLocationSource,Latitude,Longitude,Altitude,AccuracyMeters,Satellites,Hdop,AccuracySource,Experiment,UserId,UserAgent,
,0,3,-97,-99,3,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-1.21607,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
820,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214708493000000,1,31,922200000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214708154000000,3223650963,null,null,null,4,-90,null,8,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0694,108.225,-2.28749,13.1767,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
821,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214708493000000,1,31,922200000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800154000000,663882851,null,W0JAN2I4NDA3ZA==
,0,4,-95,-96,5,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0694,108.225,-2.28749,13.1767,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
822,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214714771000000,1,32,922400000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800324000000,670053100,null,W0JAYWM3YmI3Mg==
,0,5,-98,-100,1,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0698,108.225,-2.00368,8.56404,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
823,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214720826000000,1,33,922600000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214720495000000,3235991564,null,null,null,6,-95,null,-5.5,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0701,108.225,0.850757,7.30814,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
824,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214720826000000,1,33,922600000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800495000000,676223444,null,W0JAZTUzYmJjMw==
,0,6,-92,-93,8,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0701,108.225,0.850757,7.30814,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
825,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214720826000000,1,33,922600000,LORA,125000,7,null,4/5,7276ff002e06029f,null,0,1658214719495000000,1691928547,null,W0JAOGFlOGM0MA==
,0,18,-97,-101,-1,16.0755,108.223,90,0,SOURCE_REGISTRY,16.0701,108.225,0.850757,7.30814,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
826,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214741210000000,1,36,922000000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214740878000000,3256375211,null,null,null,3,-107,null,0.3,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0701,108.224,5.3511,9.58711,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
827,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214741210000000,1,36,922000000,LORA,125000,7,null,4/5,7276ff002e06029f,null,0,1658214739878000000,1712312180,877408068,W0JAYThkNjc3OQ==
,0,7,-95,-97,2,16.0755,108.223,90,0,SOURCE_REGISTRY,16.0701,108.224,5.3511,9.58711,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
828,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214768697000000,1,40,922400000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214768369000000,3283865420,null,null,null,5,-111,null,1,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0703,108.223,17.2969,8.02628,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
